company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,departure_delay_minutes,pax_load,load_factor,transfer_bags,origin_bags,total_checked_bags,transfer_bag_ratio,total_ssr_count,ssr_category
OO,4792,2025-08-04,ORD,ROA,2025-08-04 17:57:00+00:00,2025-08-04 21:04:00+00:00,2025-08-04 18:04:00+00:00,2025-08-04 20:52:00+00:00,76,ERJ-175,Express,42,34,34,7.0,63,0.8289473684210527,20.0,6.0,26.0,0.7692307692307693,4.0,Medium SSR (1-5)
UA,920,2025-08-03,ORD,LHR,2025-08-03 18:05:00+00:00,2025-08-04 08:20:00+00:00,2025-08-03 18:27:00+00:00,2025-08-04 08:06:00+00:00,167,B767-300,Mainline,235,229,145,22.0,153,0.9161676646706588,37.0,90.0,127.0,0.2913385826771653,5.0,Medium SSR (1-5)
UA,1776,2025-08-10,ORD,PHL,2025-08-10 18:20:00+00:00,2025-08-10 21:35:00+00:00,2025-08-10 20:11:00+00:00,2025-08-10 23:26:00+00:00,166,B737-800,Mainline,76,69,51,111.0,166,1.0,38.0,46.0,84.0,0.4523809523809524,1.0,Medium SSR (1-5)
OO,5790,2025-08-06,ORD,CRW,2025-08-06 18:20:00+00:00,2025-08-06 21:04:00+00:00,2025-08-06 20:05:00+00:00,2025-08-06 22:42:00+00:00,50,CRJ-200,Express,223,38,29,105.0,47,0.94,40.0,14.0,54.0,0.7407407407407407,2.0,Medium SSR (1-5)
UA,1398,2025-08-05,ORD,ATL,2025-08-05 18:20:00+00:00,2025-08-05 21:29:00+00:00,2025-08-05 18:16:00+00:00,2025-08-05 21:49:00+00:00,166,B737-800,Mainline,75,72,51,-4.0,127,0.7650602409638554,51.0,19.0,70.0,0.7285714285714285,2.0,Medium SSR (1-5)
OO,5470,2025-08-07,ORD,GEG,2025-08-07 08:40:00+00:00,2025-08-07 10:56:00+00:00,2025-08-07 08:36:00+00:00,2025-08-07 10:43:00+00:00,76,ERJ-175,Express,49,44,34,-4.0,67,0.881578947368421,23.0,14.0,37.0,0.6216216216216216,0.0,Low SSR (0)
UA,374,2025-08-15,ORD,MSP,2025-08-15 16:10:00+00:00,2025-08-15 17:49:00+00:00,2025-08-15 16:38:00+00:00,2025-08-15 18:24:00+00:00,126,A319-100,Mainline,54,41,43,28.0,124,0.984126984126984,60.0,21.0,81.0,0.7407407407407407,4.0,Medium SSR (1-5)
UA,1577,2025-08-15,ORD,SFO,2025-08-15 14:40:00+00:00,2025-08-15 17:26:00+00:00,2025-08-15 14:39:00+00:00,2025-08-15 17:11:00+00:00,234,B757-300,Mainline,123,134,66,-1.0,224,0.9572649572649572,66.0,83.0,149.0,0.4429530201342282,3.0,Medium SSR (1-5)
UA,881,2025-08-03,ORD,HND,2025-08-03 12:50:00+00:00,2025-08-04 15:55:00+00:00,2025-08-03 13:15:00+00:00,2025-08-04 16:01:00+00:00,318,B787-10,Mainline,365,407,155,25.0,315,0.9905660377358492,231.0,102.0,333.0,0.6936936936936937,9.0,High SSR (>5)
UA,2006,2025-08-09,ORD,GUA,2025-08-09 09:14:00+00:00,2025-08-09 12:45:00+00:00,2025-08-09 09:24:00+00:00,2025-08-09 12:57:00+00:00,166,B737-MAX8,Mainline,90,126,65,10.0,160,0.963855421686747,59.0,131.0,190.0,0.3105263157894737,28.0,High SSR (>5)
UA,307,2025-08-14,ORD,COS,2025-08-14 09:15:00+00:00,2025-08-14 11:08:00+00:00,2025-08-14 09:11:00+00:00,2025-08-14 10:44:00+00:00,179,B737-MAX9,Mainline,94,85,56,-4.0,121,0.6759776536312849,24.0,55.0,79.0,0.3037974683544304,2.0,Medium SSR (1-5)
UA,1538,2025-08-08,ORD,SAV,2025-08-08 11:05:00+00:00,2025-08-08 14:34:00+00:00,2025-08-08 10:59:00+00:00,2025-08-08 14:11:00+00:00,126,B737-700,Mainline,100,108,43,-6.0,119,0.9444444444444444,18.0,69.0,87.0,0.2068965517241379,3.0,Medium SSR (1-5)
UA,1006,2025-08-02,ORD,LGA,2025-08-02 18:00:00+00:00,2025-08-02 21:20:00+00:00,2025-08-02 19:00:00+00:00,2025-08-02 22:10:00+00:00,166,B737-800,Mainline,63,55,51,60.0,166,1.0,32.0,37.0,69.0,0.463768115942029,7.0,High SSR (>5)
G7,4395,2025-08-14,ORD,TVC,2025-08-14 18:15:00+00:00,2025-08-14 20:38:00+00:00,2025-08-14 19:41:00+00:00,2025-08-14 21:46:00+00:00,50,CRJ-550,Express,132,124,29,86.0,46,0.92,31.0,3.0,34.0,0.9117647058823528,2.0,Medium SSR (1-5)
