scheduled_departure_date_local,company_id,flight_number,Difficulty_Score,Daily_Difficulty_Rank,Difficulty_Category
2025-08-01,UA,247,4.945542488083329,1.0,Difficult
2025-08-01,UA,909,4.44804709353651,2.0,Difficult
2025-08-01,UA,1316,3.2655183703414288,3.0,Difficult
2025-08-01,UA,972,2.8735718183326346,4.0,Difficult
2025-08-01,UA,881,2.359157792660162,5.0,Difficult
2025-08-01,UA,953,2.351083830335159,6.0,Difficult
2025-08-01,UA,1811,1.9209461730442856,7.0,Difficult
2025-08-01,UA,468,1.8625612254481856,8.0,Difficult
2025-08-01,UA,920,1.8421199511741324,9.0,Difficult
2025-08-01,UA,1124,1.687004129401666,10.0,Difficult
2025-08-01,UA,1620,1.486666424687673,11.0,Difficult
2025-08-01,OO,5038,1.4302175982464467,12.0,Difficult
2025-08-01,OO,5260,1.3368145982949207,13.0,Difficult
2025-08-01,UA,1975,1.327192169624405,14.0,Difficult
2025-08-01,UA,714,1.2653636901872702,15.0,Difficult
2025-08-01,UA,1643,1.247437960009006,16.0,Difficult
2025-08-01,UA,1156,1.1754386543730615,17.0,Difficult
2025-08-01,UA,374,1.121935092747108,18.0,Difficult
2025-08-01,UA,2389,1.1182825680483603,19.0,Difficult
2025-08-01,UA,980,1.0708967743581204,20.0,Difficult
2025-08-01,UA,845,1.044239856158067,21.0,Difficult
2025-08-01,UA,1144,1.028027656578512,22.0,Difficult
2025-08-01,OO,5536,0.9687540535412824,23.0,Difficult
2025-08-01,UA,611,0.9665787673898439,24.0,Difficult
2025-08-01,UA,1599,0.9604645533764158,25.0,Difficult
2025-08-01,UA,118,0.9575477878573683,26.0,Difficult
2025-08-01,OO,5344,0.9381934124059208,27.0,Difficult
2025-08-01,UA,1899,0.8928320282006736,28.0,Difficult
2025-08-01,UA,1324,0.880253188133169,29.0,Difficult
2025-08-01,UA,2862,0.867427641688225,30.0,Difficult
2025-08-01,UA,1740,0.8621099213050256,31.0,Difficult
2025-08-01,UA,1485,0.859856042386025,32.0,Difficult
2025-08-01,UA,758,0.8572909566664625,33.0,Difficult
2025-08-01,UA,791,0.8451110621247021,34.0,Difficult
2025-08-01,UA,1421,0.8308409777701097,35.0,Difficult
2025-08-01,UA,2666,0.8168686334310399,36.0,Difficult
2025-08-01,UA,970,0.8066776385848877,37.0,Difficult
2025-08-01,OO,5376,0.80627096773605,38.0,Difficult
2025-08-01,UA,2133,0.7982315646844993,39.0,Difficult
